ORIGGPCD;ORIGGPFR;ORIGFDCD;ORIGFDNM;Energie, Règlement UE N° 1169/2011 (kJ/100g);Energie, Règlement UE N° 1169/2011 (kcal/100g);Energie, N x facteur Jones, avec fibres  (kJ/100g);Energie, N x facteur Jones, avec fibres  (kcal/100g);Eau (g/100g);Protéines (g/100g);Protéines brutes, N x 6.25 (g/100g);Glucides (g/100g);Lipides (g/100g);Sucres (g/100g);Amidon (g/100g);Fibres alimentaires (g/100g);Polyols totaux (g/100g);Cendres (g/100g);Alcool (g/100g);Acides organiques (g/100g);AG saturés (g/100g);AG monoinsaturés (g/100g);AG polyinsaturés (g/100g);AG 4:0, butyrique (g/100g);AG 6:0, caproïque (g/100g);AG 8:0, caprylique (g/100g);AG 10:0, caprique (g/100g);AG 12:0, laurique (g/100g);AG 14:0, myristique (g/100g);AG 16:0, palmitique (g/100g);AG 18:0, stéarique (g/100g);AG 18:1 9c (n-9), oléique (g/100g);AG 18:2 9c,12c (n-6), linoléique (g/100g);AG 18:3 c9,c12,c15 (n-3), alpha-linolénique (g/100g);AG 20:4 5c,8c,11c,14c (n-6), arachidonique (g/100g);AG 20:5 5c,8c,11c,14c,17c (n-3) EPA (g/100g);AG 22:6 4c,7c,10c,13c,16c,19c (n-3) DHA (g/100g);Cholestérol (mg/100g);Sel chlorure de sodium (g/100g);Calcium (mg/100g);Chlorure (mg/100g);Cuivre (mg/100g);Fer (mg/100g);Iode (µg/100g);Magnésium (mg/100g);Manganèse (mg/100g);Phosphore (mg/100g);Potassium (mg/100g);Sélénium (µg/100g);Sodium (mg/100g);Zinc (mg/100g);Rétinol (µg/100g);Beta-Carotène (µg/100g);Vitamine D (µg/100g);Vitamine E (mg/100g);Vitamine K1 (µg/100g);Vitamine K2 (µg/100g);Vitamine C (mg/100g);Vitamine B1 ou Thiamine (mg/100g);Vitamine B2 ou Riboflavine (mg/100g);Vitamine B3 ou PP ou Niacine (mg/100g);Vitamine B5 ou Acide pantothénique (mg/100g);Vitamine B6 (mg/100g);Vitamine B9 ou Folates totaux (µg/100g);Vitamine B12 (µg/100g)
01.1;Farines et amidons;4090;Fécule de pomme de terre;                1480;                 348;                1480;                 348;                12.7;0;0;                86.3;                 0.2;-;-;                0.55;0;                0.25;0;0;               0.039;              0.0095;                0.11;-;-;-;-;-;-;               0.032;               0.006;               0.006;               0.048;               0.064;-;-;-;0;              0.0094;                27.5;-;                 0.1;                0.84;                0.49;                   6;                 0.1;                35.6;                33.5;                 0.4;                3.75;                0.16;0;-;0;0;-;-;0;              0.0055;               0.005;                0.12;-;                0.01;                  82;0
01.1;Farines et amidons;9311;Flocon d'avoine;                1550;                 367;                1530;                 364;                10.1;                13.3;                14.2;                57.9;                6.51;                0.97;                56.9;                10.2;0;                2.04;0;0;                1.13;                2.08;                 2.5;0;0;0;0;                0.02;                0.01;                0.94;               0.082;                2.08;                 2.4;               0.096;-;0;0;0;               0.014;                84.3;-;                 0.3;                4.05;                 0.5;                 148;                4.72;                 422;                 377;                3.05;                5.68;                3.33;0;0;0;                0.59;                   2;-;0;                0.43;                0.14;                0.96;                1.31;                0.12;                39.6;0
01.1;Farines et amidons;9410;Farine de blé tendre ou froment T110;                1490;                 351;                1470;                 348;                9.96;                10.3;                11.1;                70.6;                1.13;                1.13;                69.4;                   7;0;                1.03;0;0;                0.17;                0.13;                0.51;0;0;0;0;0;              0.0015;                0.17;              0.0047;                0.13;                 0.5;               0.014;              0.0016;0;0;0;              0.0065;                  29;-;                 0.3;                 1.7;                 2.7;                64.6;                 1.9;                 287;                 337;                 0.1;                2.61;                 1.8;0;                   5;0;                0.79;                  16;-;< 0.5;                0.41;               0.083;                2.45;                 0.6;                0.17;                37.3;0
01.1;Farines et amidons;9415;Farine de blé tendre ou froment T150;                1430;                 338;                1410;                 334;                10.7;                11.4;                12.2;                62.5;                1.52;                1.77;                56.9;                12.5;0;                1.31;0;0;                0.22;                0.17;-;-;-;-;-;-;              0.0016;                 0.2;               0.014;                0.17;                0.61;                0.04;-;-;-;-;               0.035;                31.9;-;                0.35;                 2.7;-;                85.1;                 2.7;                 323;                 407;-;                  14;                 2.5;-;-;-;                1.04;-;-;< 0.5;                0.34;                0.11;                3.48;                1.02;                0.26;                52.4;-
01.1;Farines et amidons;9435;Farine de blé tendre ou froment T65;                1460;                 345;                1440;                 341;                13.2;                12.6;                13.8;                68.7;                0.85;                1.68;-;                 3.9;0;                0.78;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                0.03;                25.3;-;< 0.46;                1.31;-;                30.4;                 0.8;                 124;                 176;                 4.4;                6.56;                 0.8;-;-;-;                 0.5;-;-;-;                0.19;                0.05;                1.46;                 0.5;                0.08;                18.3;-
01.1;Farines et amidons;9436;Farine de blé tendre ou froment T55 (pour pains);                1470;                 348;                1460;                 344;                13.6;                10.4;                11.4;                71.5;                1.15;                2.71;-;                2.93;0;                0.47;0;0;                0.23;               0.087;                0.45;0;0;0;0;0;               0.001;                0.22;                0.01;-;-;-;-;0;0;0;              0.0049;                19.5;-;                0.18;                 0.9;-;                24.9;                 0.7;                 102;                 129;                39.7;                1.97;                0.78;0;                   1;0;                 0.4;                 0.3;-;0;                0.12;                0.05;                1.16;                0.49;               0.054;                24.7;0
01.1;Farines et amidons;9437;Farine de blé tendre ou froment avec levure incorporée;                1490;                 350;                1470;                 346;-;                9.12;                  10;                  74;                   1;                 2.5;-;                 2.5;0;-;0;0;                 0.5;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.1;Farines et amidons;9440;Farine de blé tendre ou froment T45 (pour pâtisserie);                1490;                 351;                1480;                 348;                11.3;                9.06;                9.94;                73.8;                0.82;                2.41;                69.3;                 4.6;0;                0.48;0;0;                0.13;               0.084;                0.33;-;-;-;0;             0.00055;              0.0011;                0.12;               0.008;               0.072;                0.28;               0.012;               0.002;-;-;0;               0.098;                17.4;                  61;                0.13;                1.18;< 5;                  25;                0.51;                 117;                 155;                2.76;                  39;                0.76;0;-;0;                0.43;0;-;0;                0.12;               0.031;                0.89;                0.84;                0.06;                  18;0
01.1;Farines et amidons;9445;Farine de blé tendre ou froment T80;                1510;                 355;                1490;                 352;                10.7;                9.95;                10.9;                73.2;                1.18;                1.77;                70.6;                 4.2;0;                0.74;0;0;                0.17;                0.11;-;-;-;-;-;-;              0.0016;                0.15;              0.0087;                0.11;                0.45;               0.026;-;-;-;-;-;                25.4;-;                 0.2;                 1.5;-;                45.6;                 1.2;                 153;                 206;-;< 2.72;                 1.3;-;-;-;                0.79;-;-;< 0.5;                0.26;                0.06;                 1.5;                 0.5;                0.13;                53.8;-
01.1;Farines et amidons;9510;Amidon de maïs ou fécule de maïs;                1550;                 364;                1550;                 364;                8.73;                0.43;                0.43;                89.6;                0.25;0;                  87;                0.87;0;                0.09;0;0;               0.009;               0.016;               0.025;0;0;0;0;0;0;              0.0081;              0.0009;-;0;-;-;0;0;0;               0.019;                   6;-;                0.05;                0.38;                 0.6;                 3.5;                0.53;                  56;                   4;                 2.8;                10.2;                0.28;0;0;0;0;0;-;0;0;               0.008;                0.03;0;               0.005;                   1;0
01.1;Farines et amidons;9520;Farine de riz;                1510;                 357;                1510;                 356;                11.4;                6.87;                7.21;                77.1;                 1.7;                0.49;-;                2.15;0;                0.79;0;0;                0.38;                0.52;                0.57;0;0;0;0;               0.003;              0.0095;                0.33;               0.033;                0.32;                0.44;               0.012;-;0;0;0;               0.014;                7.74;-;                0.19;                1.13;                0.85;                54.8;                 1.6;                 157;                 150;                 3.1;                 5.4;                1.66;0;0;0;                0.66;0;-;0;                0.19;                0.04;                3.18;                0.85;                0.39;                  10;0
01.1;Farines et amidons;9530;Farine de seigle T170;                1320;                 315;                1300;                 311;                10.8;                15.9;                17.1;                44.8;                2.22;                2.31;-;                23.8;0;                 2.5;0;0;                0.27;                0.28;                1.05;0;0;0;0;0;               0.003;                0.26;               0.009;-;-;-;-;0;0;0;               0.005;                  37;-;                0.56;                4.97;                 4.6;                 160;                6.06;                 499;                 717;-;                   2;                5.04;0;                   7;0;                2.73;                 5.9;-;0;                0.32;                0.25;                4.27;                1.46;                0.44;                  33;0
01.1;Farines et amidons;9532;Farine de seigle T85;                1460;                 344;                1450;                 342;                  12;                8.12;                 8.7;                70.7;                1.37;                0.93;-;                7.15;0;                0.69;0;0;                0.15;                0.16;                0.58;0;0;0;0;0;               0.001;                0.14;               0.005;-;-;-;-;0;0;0;              0.0051;                15.5;-;                0.19;                   1;-;                  29;                0.93;                 125;                 214;-;                2.05;                1.11;0;0;0;                0.56;                 5.9;-;0;                0.28;                0.07;                 0.8;                0.52;                0.23;                  23;0
01.1;Farines et amidons;9533;Farine de seigle T130;                1450;                 344;                1450;                 341;                 9.9;                7.24;                7.76;                70.9;                1.12;                1.59;                65.8;                 9.5;0;                1.38;0;0;                0.22;                0.19;                 0.7;0;0;0;-;              0.0013;              0.0023;                 0.2;              0.0068;                0.19;                0.65;               0.044;-;0;0;0;              0.0091;                23.8;-;                 0.3;                 1.8;-;                64.6;                 1.8;                 216;                 356;                 2.5;                3.63;                 1.9;0;0;0;                1.01;                 5.9;-;< 0.5;                 0.3;               0.072;                0.77;                0.45;                 0.2;                50.3;0
01.1;Farines et amidons;9540;Farine de sarrasin;                1470;                 348;                1470;                 348;                12.1;                11.5;                11.5;                68.4;                2.19;                0.03;                68.4;                 4.2;0;                1.65;0;0;                0.33;                0.51;                0.63;< 0.005;< 0.005;               0.014;              0.0081;              0.0036;              0.0068;                0.27;               0.023;                0.51;                0.61;               0.024;0;0;             0.00061;0;               0.042;                23.8;-;                 0.5;                 2.5;-;                 157;                 1.3;                 264;                 389;                 4.9;                16.8;                 2.3;0;0;0;                0.32;                   7;-;< 0.5;                0.38;                0.15;                4.75;                1.45;                0.46;                66.8;0
01.1;Farines et amidons;9545;Farine de maïs;                1530;                 361;                1530;                 361;                10.5;                6.23;                6.23;                78.1;                 2.1;                0.64;-;                2.55;0;                0.53;0;0;                0.27;                0.48;                0.94;0;0;0;0;               0.001;               0.005;                0.23;               0.037;                0.48;                0.91;               0.032;-;0;0;0;              0.0025;                   4;-;                0.14;                1.01;                 0.6;                32.5;               0.056;                79.5;                 105;                 3.2;                   1;                0.44;0;                  97;0;                0.63;                 0.3;-;0;                 0.2;               0.084;                4.18;               0.052;                0.21;                  34;0
01.1;Farines et amidons;9550;Farine d'orge;                1430;                 339;                1420;                 336;                13.1;                9.91;                10.6;                64.5;                 2.3;                 0.8;                  56;                8.85;0;                1.39;0;0;                0.43;                0.23;                1.07;0;0;0;0;               0.004;              0.0085;                 0.4;               0.014;                0.23;                0.97;                 0.1;0;0;0;0;              0.0081;                27.5;-;                0.45;                3.59;                   5;                92.5;                1.32;                 298;                 335;                   1;                3.25;                 2.4;0;0;0;                0.41;                 2.2;-;0;                0.35;                0.11;                5.98;                0.15;                0.36;                   8;0
01.1;Farines et amidons;9555;Farine de millet;                1590;                 375;                1590;                 375;                8.67;                11.5;                11.5;                70.8;                4.25;                1.64;                69.2;                 3.5;0;                1.21;0;0;                0.54;                0.92;                2.62;               0.007;               0.001;0;               0.008;               0.001;               0.003;                0.39;               0.071;                 0.9;                2.55;               0.044;-;0;0;-;                0.01;                  14;-;                0.54;                3.94;-;                 119;                   1;                 285;                 224;-;                   4;                2.63;-;-;-;                0.11;                 0.8;-;0;                0.41;               0.073;                6.02;                1.27;                0.37;                  42;-
01.1;Farines et amidons;9580;Farine de pois chiche;                1510;                 359;                1510;                 359;                10.3;                22.4;                22.4;                  47;                6.69;                10.9;-;                10.8;0;                2.82;0;0;                0.69;                 1.5;                2.98;0;0;0;0;0;                0.01;                0.56;               0.094;-;-;-;-;0;0;0;                0.16;                  45;-;                0.91;                4.86;-;                 166;                 1.6;                 318;                 846;-;                  64;                2.81;0;                  25;0;                0.83;                 9.1;-;0;                0.49;                0.11;                1.76;                0.61;                0.49;                 437;0
01.1;Farines et amidons;9621;Son de blé;                1160;                 279;                1160;                 279;                9.05;                15.4;                15.2;                23.6;                4.35;                2.46;                20.9;                  42;0;                 5.6;0;0;                0.84;                0.67;                2.49;0;0;0;0;               0.002;               0.007;                0.68;                0.04;                0.66;                2.32;                0.16;              0.0081;0;0;0;               0.033;                73.9;-;                1.05;                14.8;                 2.4;                 546;                13.3;                1030;                1260;                 6.8;                13.3;                7.49;0;                   6;0;                1.55;                42.5;-;0;                0.71;                0.47;                21.6;                2.29;                1.34;                 110;0
01.1;Farines et amidons;9640;Son d'avoine;                1510;                 359;                1510;                 359;                7.53;                15.8;                15.8;                  51;                6.48;                2.23;-;                16.7;0;                2.55;0;0;                1.16;                2.38;                2.77;0;0;0;0;               0.024;               0.015;                1.06;               0.067;-;-;-;-;0;0;0;               0.016;                62.6;-;                 0.4;                5.41;-;                 235;                5.63;                 627;                 566;                45.2;                 6.5;                3.11;0;0;0;                1.01;                 3.2;-;0;                1.17;                0.22;                0.93;                1.49;                0.17;                  52;0
01.1;Farines et amidons;9641;Son de maïs;                 921;                 226;                 921;                 226;                4.71;                8.36;                8.36;                6.65;                0.92;0;-;                  79;0;                0.36;0;0;                0.13;                0.24;                0.42;0;0;0;0;0;0;                0.11;               0.015;-;-;-;-;0;0;0;               0.018;                  42;-;                0.25;                2.79;-;                  64;                0.14;                  72;                  44;-;                   7;                1.56;0;                  32;0;                0.42;                 0.3;-;0;                0.01;                 0.1;                2.74;                0.64;                0.15;                   4;0
01.1;Farines et amidons;9643;Son de riz;                1650;                 398;                1650;                 398;                6.12;                13.9;                13.9;                28.1;                20.9;                 0.9;-;                  21;0;                9.99;0;0;                4.17;                7.55;                7.46;0;0;0;0;               0.019;               0.078;                3.56;                0.37;-;-;-;-;0;0;0;               0.013;                  57;-;                0.73;                18.5;-;                 781;                14.2;                1680;                1490;                15.6;                   5;                6.04;0;0;0;                4.92;                 1.9;-;0;                2.75;                0.28;                  34;                7.39;                4.07;                  63;0
01.1;Farines et amidons;20900;Farine de soja;                1790;                 427;                1720;                 412;                5.39;                39.7;                43.5;                  21;                16.2;                12.3;                5.25;                12.4;                0.89;                5.33;0;0;                2.28;                3.74;                9.03;0;0;0;0;               0.019;               0.034;                1.58;                0.61;                3.74;                7.91;                1.12;0;0;0;0;                0.02;                 197;-;                2.23;                5.97;                 0.5;                 287;                2.56;                 587;                2130;                  11;                   8;                4.25;0;                  40;0;                10.9;                 113;-;0;                0.77;                0.44;                2.65;                1.76;                0.63;                 557;0
01.1;Farines et amidons;96781;Amidon de riz;                1460;                 343;                1460;                 342;                14.2;                 0.6;                0.63;                  85;0;-;-;traces;0;-;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;0;-;0;0;-;-;-;-;-;-;-;-;-;-
01.2;Riz et graines crus;9001;Épeautre, cru;                1450;                 344;                1430;                 340;                  11;                14.6;                15.6;                59.5;                2.43;                6.68;                52.8;                10.7;0;                1.78;0;0;                0.41;                0.45;                1.26;-;-;0;0;0;0;                0.37;               0.024;-;-;               0.065;-;-;-;0;                0.02;                  27;-;                0.51;                4.44;-;                 136;                2.98;                 401;                 388;-;                   8;                3.28;0;                   5;-;                0.79;                 3.6;-;0;                0.36;                0.11;                6.84;                1.07;                0.23;                  45;0
01.2;Riz et graines crus;9003;Blé de Khorasan, cru;                1440;                 342;                1430;                 337;                11.1;                14.5;                15.6;                59.5;                2.13;                7.74;                51.7;                11.1;0;                1.67;0;0;                 0.2;                0.21;                0.62;-;-;0;0;0;0;                0.18;               0.012;-;-;               0.048;-;-;-;0;               0.013;                  22;-;                0.51;                3.77;-;                 130;                2.74;                 364;                 403;-;                   5;                3.68;-;                   5;-;                0.61;                 1.8;-;0;                0.57;                0.18;                6.38;                0.95;                0.26;-;-
01.2;Riz et graines crus;9010;Blé tendre entier ou froment, cru;                1530;                 361;                1520;                 358;                  12;                11.5;                12.3;                71.3;                 2.6;                 3.3;                62.5;                 1.7;0;                0.89;0;0;                 0.6;                0.29;                1.59;-;-;-;-;-;              0.0014;                0.26;-;-;                0.81;-;-;-;-;0;               0.005;                  35;-;-;                 3.3;-;-;-;                 304;                 397;-;                   2;                 2.6;0;0;0;                1.44;-;-;0;                0.42;                0.14;                 5.4;-;                0.27;                  41;-
01.2;Riz et graines crus;9011;Blé germé, cru;                 897;                 211;                 887;                 209;                47.8;                7.49;                8.03;                41.4;                1.27;-;-;                 1.1;0;                0.96;0;0;                0.21;                0.15;                0.56;0;0;0;0;0;0;                0.19;               0.012;-;-;-;-;0;0;0;                0.04;                  28;-;                0.26;                2.14;-;                  82;                1.86;                 200;                 169;-;                  16;                1.65;0;-;0;-;-;-;                 2.6;                0.23;                0.16;                3.09;                0.95;                0.27;                  38;0
01.2;Riz et graines crus;9060;Blé dur entier, cru;                1450;                 343;                1440;                 340;                10.7;                12.1;                  13;                62.4;                2.24;                3.17;                59.2;                  11;0;                1.64;0;0;                0.37;                0.29;                0.95;0;0;0;0;0;               0.003;                0.34;               0.019;                0.22;                0.86;                0.06;               0.003;0;0;0;              0.0088;                30.2;-;                0.44;                3.51;                 2.7;                 130;                3.31;                 390;                 408;                 4.1;                 3.5;                3.48;0;0;0;                 1.4;                  30;-;0;                0.38;                0.12;                6.17;                1.02;                0.39;                  32;0
01.2;Riz et graines crus;9080;Blé dur précuit, entier, cru;                1520;                 360;                1510;                 356;                8.87;                12.1;                12.9;                70.4;                1.66;                1.41;-;                5.74;0;                1.29;0;0;                0.72;                0.82;                0.12;-;-;-;-;-;-;-;-;-;-;-;-;-;-;                0.37;               0.029;                  55;-;                 0.4;0;0;                  50;                 3.4;                 238;                 950;-;                11.5;0;0;0;0;                  22;-;-;0;                2.01;0;                 8.4;0;                 0.3;                 331;0
01.2;Riz et graines crus;9100;Riz blanc, cru;                1500;                 353;                1490;                 351;                12.3;                7.04;                 7.4;                78.2;                0.91;                0.16;                78.1;                1.04;0;                0.49;0;0;                 0.2;                0.27;                 0.3;< 0.005;< 0.005;< 0.005;< 0.0033;< 0.0033;              0.0062;                0.17;               0.019;                0.27;                0.29;              0.0085;< 0.01;< 0.005;< 0.005;                 0.9;              0.0061;                  33;-;                0.19;                1.57;                 5.1;                31.3;                0.99;                 118;                 121;                   6;                2.28;                1.41;0;0;0;                0.08;                 0.1;-;0;                0.15;               0.042;                1.92;                0.88;                0.13;                19.3;0
01.2;Riz et graines crus;9101;Riz blanc étuvé, cru;                1510;                 356;                1500;                 354;                11.3;                7.11;                7.47;                78.6;                0.98;                 0.4;                72.1;                1.32;0;                 0.7;0;0;                0.21;                 0.3;                0.34;< 0.005;< 0.005;< 0.005;< 0.0033;< 0.0033;              0.0076;                0.18;               0.019;                 0.3;                0.34;              0.0089;< 0.01;< 0.005;< 0.005;0;               0.012;                 101;-;                0.24;                0.97;                 5.1;                  31;                2.47;                 162;                 162;                   6;                5.08;                1.36;0;-;0;                0.04;                 0.1;-;0;                0.42;               0.043;                5.02;                0.79;                0.43;                  13;0
01.2;Riz et graines crus;9102;Riz complet, cru;                1480;                 350;                1480;                 349;                12.6;                7.02;                7.38;                71.4;                 2.8;                0.55;                70.8;                   5;0;                 1.2;0;0;                0.58;                0.86;                1.01;0;0;0;0;              0.0024;               0.015;                0.51;               0.053;                0.71;                0.98;               0.026;-;0;0;0;                0.01;                11.1;                  62;                0.27;< 1;< 10;                 118;                 2.2;                 163;                 219;< 5;                 4.1;                   2;0;< 50;0;                 0.2;                 1.9;-;0;                0.26;                0.05;< 0.05;                 1.1;                0.09;                  48;0
01.2;Riz et graines crus;9108;Riz sauvage, cru;                1460;                 344;                1450;                 342;                11.5;                11.1;                11.7;                69.2;                0.94;                 2.5;                  64;                 5.9;0;                 1.3;0;0;                0.14;                0.14;                0.59;0;0;0;0;0;0;                0.13;              0.0096;-;-;-;-;0;0;0;              0.0068;                6.95;                  78;< 1;< 1;< 10;                90.1;                 1.1;                 317;                 298;< 5;                 2.7;                 3.7;0;< 50;0;< 0.1;                 1.9;-;0;                0.41;                0.15;                 3.5;                 1.1;                0.24;                  49;0
01.2;Riz et graines crus;9109;Riz rouge, cru;                1490;                 352;                1480;                 350;                12.4;                7.97;                8.38;                70.6;                   3;-;                58.4;                 4.5;0;                 1.5;0;0;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.028;                13.5;                  61;< 1;< 1;< 10;                 130;                   2;                 372;                 288;< 5;                  11;                 2.1;-;< 50;-;                 0.7;-;-;-;                0.26;                0.06;                 1.7;                 1.1;                0.12;                  15;-
01.2;Riz et graines crus;9119;Riz thaï ou basmati, cru;                1500;                 353;                1490;                 351;                12.5;                7.81;                 8.2;                77.6;                0.84;                0.17;-;                0.92;0;                0.34;0;0;                0.19;                 0.3;                0.23;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;< 0.01;                0.17;               0.022;                 0.3;                0.22;              0.0068;< 0.01;< 0.01;< 0.01;-;               0.014;-;-;-;-;-;-;-;-;-;-;                6.39;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.2;Riz et graines crus;9121;Riz, mélange de variétés (blanc, complet, rouge, sauvage, etc.), cru;                1500;                 355;                1500;                 353;                12.2;                7.32;                7.69;                  78;                   1;                 0.5;-;                 1.5;0;               0.025;0;0;                 0.2;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-;               0.025;-;-;-;-;-;-;-;-;-;-;                  10;-;-;-;-;-;-;-;-;-;-;-;-;-;-;-
01.2;Riz et graines crus;9200;Maïs entier, cru;                1470;                 348;                1470;                 348;                13.6;                 8.1;                 8.1;                67.7;                 3.7;                 1.6;                64.1;                 5.7;0;                 1.2;0;0;-;-;-;-;-;-;-;-;              0.0032;                0.35;               0.057;-;                 1.8;               0.032;-;-;-;-;                0.01;                  40;                  50;                 0.2;                 3.2;-;                 100;                 0.8;                 260;                 320;                  10;                   4;                 1.9;-;-;-;                 1.7;-;-;-;                 0.4;                0.14;                 2.1;                 0.6;                 0.5;-;0
01.2;Riz et graines crus;9310;Avoine, crue;                1550;                 366;                1530;                 362;                10.3;                14.6;                15.6;                59.6;                5.43;                 1.2;                52.6;                8.25;0;                1.85;0;0;                1.05;                1.88;                2.18;-;-;-;-;               0.024;               0.012;                0.82;               0.053;                1.88;                1.65;               0.073;-;-;-;0;               0.012;                  66;                  70;                0.52;                4.72;-;                 148;                4.34;                 445;                 406;                   9;                4.67;                3.51;0;-;0;                1.09;-;-;0;                0.68;                0.16;                0.96;                1.35;                0.12;                  56;0
01.2;Riz et graines crus;9320;Orge entière, crue;                1370;                 324;                1350;                 321;                11.4;                  11;                11.7;                56.1;                2.05;                1.45;                52.2;                17.3;0;                2.25;0;0;                0.48;                 0.3;                1.11;0;0;0;0;               0.006;              0.0056;                0.36;               0.018;-;                0.82;               0.073;-;0;0;0;               0.028;                51.5;                 110;                 0.7;                 9.7;-;                 122;                1.77;                 302;                 466;                  11;                  11;                2.89;0;                  13;0;                0.57;                 2.2;-;0;                0.52;                0.22;                4.95;                0.49;                0.36;                  19;0
01.2;Riz et graines crus;9321;Orge perlée, crue;                1460;                 346;                1450;                 343;                10.1;                9.91;                10.6;                68.6;                1.16;                 0.8;-;                 9.1;0;                1.11;0;0;                0.24;                0.15;                0.56;0;0;0;0;               0.003;               0.006;                0.21;               0.008;-;-;-;-;0;0;0;               0.023;                  29;-;                0.42;                 2.5;-;                  79;                1.32;                 221;                 280;-;                   9;                2.13;0;                  13;0;                0.02;                 2.2;-;0;                0.19;                0.11;                 4.6;                0.28;                0.26;                  23;0
01.2;Riz et graines crus;9330;Mil entier, cru;                1520;                 359;                1500;                 356;                8.68;                  11;                11.8;                64.3;                4.21;-;-;                 8.5;0;                3.27;0;0;                0.72;                0.77;                2.13;-;-;-;-;               0.003;traces;                0.53;                0.15;                0.74;                2.02;                0.12;-;-;-;0;              0.0087;                 8.5;-;                0.66;                3.61;                   5;                 109;                1.32;                 270;                 203;                  16;                3.47;                2.25;0;-;0;                0.05;                 0.9;-;0;                0.42;                0.29;                4.72;                0.85;                0.51;                66.7;0
01.2;Riz et graines crus;9340;Quinoa, cru;                1530;                 364;                1520;                 360;                11.3;                13.1;                14.1;                  60;                5.94;-;                52.2;                   7;0;                2.64;0;0;                0.65;                1.57;                2.82;-;-;0;0;0;0;                0.57;               0.043;                1.53;                2.21;                0.13;-;0;               0.047;0;               0.033;                53.5;-;                0.71;                6.91;-;                 204;                2.15;                 434;                 652;-;                  13;                 3.2;0;                   8;0;                2.44;0;-;-;                0.28;                0.36;                2.23;                0.91;                0.36;                 117;0
01.2;Riz et graines crus;9345;Amarante, crue;                1520;                 362;                1510;                 358;                10.6;                  14;                  15;                54.8;                6.77;                1.57;                53.2;                  11;0;                2.96;0;0;                1.56;                1.56;                2.83;-;-;0;0;0;               0.011;                1.22;                0.22;                1.43;                2.79;               0.049;-;-;-;0;               0.031;                 156;-;                0.65;                 7.6;-;                 257;                 2.8;                 506;                 437;-;                12.5;                3.03;0;                   1;0;                1.19;0;-;                 4.2;               0.098;                 0.2;                 1.1;                1.25;                0.41;                65.5;0
01.2;Riz et graines crus;9360;Sorgho entier, cru;                1460;                 345;                1460;                 345;                  13;                  10;                  10;                65.7;                3.18;                1.81;                63.9;                 6.7;0;                1.42;0;0;                0.42;                0.78;                1.08;-;-;-;-;             0.00091;              0.0028;                0.37;               0.045;                0.11;                0.71;               0.054;-;-;-;0;               0.028;                21.5;                  60;                0.34;                4.58;-;                 143;                1.25;                 285;                 362;                  43;                  11;                1.79;0;-;0;                 0.5;-;-;0;                0.37;                0.11;                3.69;                0.78;                0.44;                  20;0
01.2;Riz et graines crus;9380;Sarrasin entier, cru;                1490;                 354;                1490;                 354;                9.97;                  13;                  13;                63.5;                 3.5;-;-;                   8;0;                   2;0;0;                0.74;                1.04;                1.04;0;0;               0.035;               0.018;                0.01;               0.025;                0.45;               0.047;                0.99;                0.96;               0.078;-;0;0;0;              0.0025;                16.9;-;                 1.1;                 2.2;                 2.5;                 231;                 1.3;                 357;                 460;-;                   1;                 2.4;0;-;0;-;-;-;0;                 0.1;                0.43;                7.02;                1.23;                0.21;                  30;0
01.2;Riz et graines crus;9390;Seigle entier, cru;                1390;                 329;                1380;                 327;                11.3;                9.35;                  10;                  61;                1.71;                2.09;                53.8;                  15;0;                1.69;0;0;                0.25;                0.22;                0.96;0;0;0;0;0;              0.0023;                0.21;              0.0052;                0.22;                0.73;               0.096;0;0;0;0;              0.0073;                50.9;                  60;                 0.4;                4.11;                 2.7;                 106;                3.63;                 331;                 463;                4.25;                 2.9;                2.58;0;                   7;0;                   1;                 5.9;-;0;                0.36;                 0.2;                2.62;                1.33;                0.26;                  47;0
01.2;Riz et graines crus;9690;Boulgour de blé, cru;                1490;                 351;                1470;                 348;                9.05;                11.5;                12.4;                66.8;                1.71;                0.41;                  60;                9.57;0;                1.31;0;0;                0.27;                0.21;                0.76;0;0;               0.013;0;0;               0.001;                0.24;               0.014;                0.21;                0.71;                0.05;              0.0031;0;0;0;               0.043;                34.3;-;                0.33;                2.46;                 2.7;                 140;                3.32;                 285;                 410;                 4.1;                  17;                2.37;0;                   5;0;                0.73;                  16;-;0;                0.23;                0.12;                5.11;                1.07;                0.35;                  24;0
